Prefix,Class Number,Class Name,Credits
ACC,111,Intro to Accounting,3
ACC,124,Accounting Professionalism,3
ACC,131,Principles of Accounting I,4
ACC,132,Principles of Accounting II,4
ACC,161,Payroll Accounting,3
ACC,165,Payroll Certification Review,2
ACC,193,Accounting Procedures/Mgmt,3
ACC,202,Accounting Cycle,1
ACC,222,Cost Accounting,4
ACC,237,Intermediate Accounting,4
ACC,252,Gov’t & Nonprofit Accounting,4
ACC,265,Income Tax Accounting,4
ACC,268,Business Tax,3
ACC,281,Auditing,3
ACC,311,Computer Accounting,3
ACC,314,QuickBooks Accounting,3
ACC,315,Sage Computerized Accounting,3
ACC,353,Excel for Entrepreneurs,4
ACC,365,Accounting Spreadsheets/Datab,4
ACC,850,Tax Assistance Institute,3
ADM,105,Intro to Keyboarding,1
ADM,131,Office Calculators,1
ADM,147,Customer Service Health Care,3
ADM,154,Business Communication,3
ADM,157,Business English,3
ADM,162,Office Procedures,3
ADM,164,Administrative Office Appl,3
ADM,188,Project and Event Management,3
ADM,208,Legal Terminology,3
ADM,221,Career Development Skills,2
ADM,265,Supervised Practical Exp,2
ADM,269,Workplace Professionalism,3
ADM,936,Occupational Experience,3
ADM,937,Prof Office Careers Seminar,1
ADM,947,Professional Internship Exper,2
ASM,150,Communication with Elderly,1
ASM,155,Impact of Demographics,1
ASM,160,Aspects of Aging,1
ASM,165,Healthy Aging,1
ASM,180,Cultural Diversity,1
ASM,200,"Depression, Death & Grieving",1
ASM,238,Financial Management in AS,3
ASM,239,Info Systems in Healthcare,2
ASM,240,Practicum I: Social Services,1
ASM,241,Practicum II: Dietary,1
ASM,242,Practicum III: Legal Aspects and Government Organizations,1
ASM,243,Practicum IV: Nursing,1
ASM,244,Practicum V: Environmental Services,1
ASM,245,Practicum VI: Activities/Community Resources,1
ASM,246,Practicum VII: Business Administration,1
ASM,247,Practicum VIII: Administrative Organization,1
ASM,248,Practicum IX: Human Resource Management,1
ASM,256,Agency Experience,2
ASM,261,Regulation of NF/SNF,3
ASM,263,Practicum I: Quality of Life,2
ASM,264,Pract II: Human Resource,1
ASM,265,Pract III: Finance,1
ASM,266,Pract IV: Environment,1
ASM,267,Pract V: Leadership & Mgmt,1
ASM,274,Law & Ethics in Healthcare,3
ASM,278,Management in Senior Care,3
ASM,279,HealthCare Human Resources,3
ASM,280,HealthCare Delivery Systems,2
ASM,282,Aging Services,2
ASM,283,Aging Policies & Gov Programs,2
ASM,291,Activity Coordinator,4
ASM,295,Death and Dying,3
ASM,800,Seminar I,1
ASM,805,Seminar II,1
AGA,114,Principles of Agronomy,3
AGA,129,Intro to Sustainable Agricul,3
AGA,154,Fundamentals of Soil Science,3
AGA,157,Soil Fertility,1
AGA,211,Grain and Forage Crops,3
AGA,222,Grain Management,2
AGA,284,Pesticide Application Certific,3
AGA,381,Crop Scouting,3
AGB,101,Agricultural Economics,3
AGB,235,Intro to Agricultural Markets,3
AGB,330,Farm Business Management,3
AGB,331,Entrepreneurship in Agricult,3
AGB,336,Agricultural Selling,3
AGB,440,Agricultural Niche Marketing,3
AGB,802,Agribusiness Internship I,2
AGB,812,Agribusiness Internship II,2
AGC,314,Leadership in Agriculture,2
AGC,420,Agricultural Issues,3
AGH,103,Floral Design I,1
AGH,104,Floral Design II,1
AGH,106,Introduction to Horticulture,3
AGH,112,Intro to Turfgrass Management,3
AGH,120,Herbaceous Plant Materials,3
AGH,123,Woody Plant Materials,3
AGH,132,Introduction to Greenhouse,3
AGH,133,Greenhouse Production I,3
AGH,139,Field to Kitchen,3
AGH,142,Landscape Construction,3
AGH,146,Soil Science for Horticulture,3
AGH,147,Soil Fertility for Hort.,1
AGH,154,Residential Landscape Design,3
AGH,156,Landscape Design II,3
AGH,159,Landscape Graphics,2
AGH,161,Irrigation Systems,3
AGH,200,Landscape Estimating & Bidding,2
AGH,211,Advanced Turfgrass Management,3
AGH,221,Principles of Horticulture,3
AGH,223,Tree Physiology,3
AGH,224,Tree Maintenance,3
AGH,225,Tree Climbing and Pruning,3
AGH,233,Plant Propagation I,3
AGH,253,Insects and Diseases,3
AGH,262,Fruit and Vegetable Science,3
AGH,272,Nursery Production I,3
AGH,276,Greenhouse Production II,3
AGH,281,Arboriculture,3
AGH,283,Pesticide Application Cert,2
AGH,291,Hort. Business Operations,3
AGH,296,Commercial Landscape Industry,2
AGH,805,Horticulture Internship I,2
AGH,912,Current Topics in Hort.,1
AGM,125,Alternative Energy in Ag,3
AGP,333,Precision Agriculture Appl.,3
AGS,101,Working with Animals,2
AGS,113,Survey of the Animal Industry,3
AGS,114,Survey of the Animal Industry,2
AGS,222,Aquaculture/Aquarium Sci I,3
AGS,225,Swine Science,3
AGS,226,Beef Cattle Science,3
AGS,242,Animal Health,3
AGS,249,Aquaculture/Aquarium Sci II,3
AGS,319,Animal Nutrition,3
AGS,323,Animal Nutrition II,3
AGT,120,Agricultural Appl in Biotech,3
AGV,109,Pharmacy Skills,2
AGV,120,Veterinary Medical Terminology,1
AGV,128,Introduction to Veterinary Technology,2
AGV,129,Veterinary Physiology,3
AGV,133,Veterinary Clinic Pathology I,3
AGV,134,Veterinary Clinic Pathology II,3
AGV,138,Clinical Pathology Lab,1
AGV,140,Veterinary Pharmacology,3
AGV,145,Animal Nutrition,3
AGV,151,Intro Vet Tech Clinical Skills,3
AGV,160,Anesthesia/Surgical Assistance,4
AGV,164,Clinical Mgmt Domestic Species,2
